           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   4.743964E+01  -2.057930E+01   9.620000E+01   8.053000E+00   8.400000E-01  -4.700000E+01   2.000000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.781098E+01  -8.922140E+00   5.650000E+01   9.138000E+00   6.100000E-01  -4.500000E+01   2.660000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.805966E+01  -1.048112E+01   7.900000E+01   9.209000E+00   1.800000E-01   7.000000E+01   6.615000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.853769E+01  -2.822950E+00   6.310000E+01   9.844000E+00   3.600000E-01   8.250000E+01   2.110000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.900312E+01  -2.427370E+00   3.280000E+01   1.003000E+01   8.500000E-01  -7.200000E+01   2.700000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.932750E+01  -4.110807E+01   1.434000E+02   6.101000E+00   7.100000E-01  -1.000000E+01   8.600000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.956686E+01  -6.649826E+01   1.046000E+02   8.187000E+00   5.600000E-01   7.500000E+00   3.700000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.992116E+01  -1.941136E+01   1.318000E+02   8.109000E+00   4.800000E-01  -7.900000E+01   1.880000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.995098E+01   4.151168E+01   6.290000E+01   8.747000E+00   8.300000E-01  -8.000000E+01   3.070000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.067412E+01  -3.720820E+01   1.660000E+02   5.959000E+00   7.200000E-01   4.750000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.068454E+01  -3.710379E+01   6.310000E+01   8.150000E+00   9.800000E-01   1.055000E+02   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.098499E+01  -3.646466E+01   7.810000E+01   7.872000E+00   7.000000E-01   2.250000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.110652E+01  -2.154404E+01   9.040000E+01   9.093000E+00   3.600000E-01   5.350000E+01   1.770000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.157217E+01  -2.133537E+01   1.075000E+02   7.376000E+00   3.400000E-01  -6.750000E+01   1.770000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
