---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
46674,240,"14-15 15","N 5102",309.73,25.84,-3,459,307,27.70,27.77,0.055,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.16,-1.88,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
46680,240,"14-15 15","K 197",308.92,19.98,-5,0.001,0,27.70,27.87,0.154,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.92,-4.31,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
46744,841,"45  0  0","N 5116",33.59,82.98,5,2834,2858,33.09,0.00,0.022,0.07,0.38,1,0.001,0.001,0.001,11.85,1,0.001,0.001,2912,356,1,2,33.02,0.00,1.0,0.001,13.00,-2.60,33.59,82.98,-2.60,2834,2858,2845,3090,33.02,0.41,1,33.02,0.41,1.0,0,0.00,0.00,0,0.00,0.00
46746,842,"45  0  0","N 5117",44.46,82.92,6,2435,2463,32.84,0.00,0.017,0.001,0.35,1,0.001,0.001,0.001,13.02,1,0.001,0.001,2420,237,1,3,32.64,0.00,1.0,0.001,13.50,-2.90,44.46,82.92,-2.90,2435,2463,2452,2686,32.64,0.41,1,32.64,0.41,1.0,0,0.00,0.00,0,0.00,0.00
46753,837,"45  1  1","U 8409",6.49,81.90,8,2812,2824,32.97,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.10,-3.08,6.49,81.90,-3.08,2812,2824,2806,3078,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
46768,52,"11-23 22","I 4231",311.75,36.03,4,2256,2125,32.21,0.00,0.067,0.001,0.23,2,0.001,0.001,0.001,12.45,2,0.001,0.001,2125,272,8,3,32.24,0.00,1.0,32.27,13.18,-2.93,309.64,34.86,-1.84,2166,2028,1947,2466,32.42,0.21,3,32.48,0.25,2.9,1,32.27,0.41,0,0.00,0.00
46830,51,"11-22 22",1321-24,312.30,37.65,10,2056,1929,31.92,0.00,0.075,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.06,-2.93,311.03,36.17,-1.67,1938,1806,1727,2237,32.12,0.29,2,32.12,0.29,2.2,0,0.00,0.00,0,0.00,0.00
46878,73,"11-33 33",1321-20,313.19,41.07,3,2644,2526,32.62,0.00,0.088,0.30,0.68,3,0.001,0.001,0.001,11.33,3,10.49,1,2541,315,1,3,33.02,0.15,1.5,0.001,12.81,-2.67,308.76,39.06,-1.93,2831,2699,2621,3141,32.55,0.19,6,32.55,0.19,6.4,0,0.00,0.00,0,0.00,0.00
46885,231,"14-15 15","K 200",311.26,31.36,10,492,351,29.20,28.44,0.069,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.58,-4.04,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
46889,50,"11-21 21",1322-19,313.57,42.47,5,1975,1860,31.82,0.00,0.085,0.28,0.56,1,0.001,0.001,0.001,11.76,1,0.001,0.001,1866,207,1,3,31.28,0.00,1.0,0.001,11.92,-2.48,312.52,41.24,-1.76,1784,1665,1590,2090,31.34,0.21,3,30.93,0.25,3.0,1,32.46,0.41,0,0.00,0.00
46896,316,"16 -4  4","N 5121",310.19,24.73,1,1532,1379,31.59,0.00,0.073,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.00,-2.54,309.95,25.35,-2.11,1495,1342,1256,1768,31.00,0.21,3,30.89,0.25,3.0,1,31.28,0.41,0,0.00,0.00
46934,801,"43 -2  1","N 5145",102.13,72.48,5,1225,1299,31.82,0.00,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.90,-2.88,102.37,72.31,-2.59,1241,1316,1329,1433,31.89,0.41,0,0.00,0.00,0.0,1,31.89,0.41,0,0.00,0.00
46938,50,"11-21 21","N 5134",313.43,41.04,3,1696,1578,31.82,0.00,0.092,0.30,0.60,1,0.001,0.001,0.001,10.07,1,0.001,0.001,1638,162,6,3,28.80,0.00,1.0,0.001,12.00,-2.52,312.52,41.24,-1.76,1784,1665,1590,2090,31.34,0.21,3,30.93,0.25,3.0,1,32.46,0.41,0,0.00,0.00
46952,746,"42  0  3","U 8441",114.21,58.73,10,1519,1633,32.21,0.00,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.30,-2.97,114.21,58.73,-2.97,1519,1633,1668,1645,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
46957,240,"14-15 15","N 5128",309.49,19.43,-2,541,380,27.70,27.88,0.116,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7.48,-0.80,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
46960,316,"16 -4  4","N 5121A",310.40,25.00,8,1436,1284,31.59,0.00,0.068,0.001,0.49,1,0.001,0.001,0.001,14.39,1,0.001,0.001,1284,109,8,3,31.22,0.00,1.0,0.001,14.92,-3.72,309.95,25.35,-2.11,1495,1342,1256,1768,31.00,0.21,3,30.89,0.25,3.0,1,31.28,0.41,0,0.00,0.00
47002,70,"11-32 32",1323-31,311.41,30.17,9,2425,2283,32.30,0.00,0.052,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.10,-3.28,312.02,28.26,-1.95,2385,2242,2159,2662,32.03,0.28,2,32.03,0.28,2.3,0,0.00,0.00,0,0.00,0.00
47003,444,"23  2  2",1323-47,308.88,14.25,3,2629,2461,32.84,0.00,0.112,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.72,-2.98,310.86,15.76,-2.35,2562,2401,2313,2800,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47020,797,"43 -1  1",1324+38,90.59,77.08,10,1170,1229,31.44,0.00,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.10,-3.83,99.74,79.32,-1.48,940,989,991,1168,31.34,0.13,8,31.45,0.16,9.1,3,31.07,0.25,0,0.00,0.00
47027,95,"11  0  0","N 5147",322.89,63.62,8,1100,1047,31.33,0.00,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.22,-2.66,322.89,63.62,-2.66,1100,1047,998,1404,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47053,801,"43 -2  1","U 8449",100.64,72.80,8,1237,1311,31.82,0.00,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.48,-3.51,102.37,72.31,-2.59,1241,1316,1329,1433,31.89,0.41,0,0.00,0.00,0.0,1,31.89,0.41,0,0.00,0.00
47054,50,"11-21 21",1323-21,313.57,39.93,10,1440,1320,31.82,0.00,0.078,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.37,-3.06,312.52,41.24,-1.76,1784,1665,1590,2090,31.34,0.21,3,30.93,0.25,3.0,1,32.46,0.41,0,0.00,0.00
47073,231,"14-15 15","I 4247",311.90,31.89,5,419,281,29.20,28.48,0.062,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.31,-3.53,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
47085,70,"11-32 32",1324-36,310.78,25.57,5,2476,2326,32.30,0.00,0.072,0.23,0.67,1,0.001,0.001,0.001,12.68,1,0.001,0.001,2325,223,6,3,32.93,0.00,1.0,0.001,13.78,-3.16,312.02,28.26,-1.95,2385,2242,2159,2662,32.03,0.28,2,32.03,0.28,2.3,0,0.00,0.00,0,0.00,0.00
47102,53,"11  0 22",1324-29,312.02,32.17,8,1894,1757,31.82,0.00,0.062,0.27,0.60,1,0.001,0.001,0.001,13.84,1,0.001,0.001,1756,160,6,2,32.58,0.00,1.0,0.001,13.48,-3.11,312.02,32.17,-3.11,1894,1757,1676,2181,32.58,0.41,1,32.58,0.41,1.0,0,0.00,0.00,0,0.00,0.00
47143,476,"23  0  0",1324-571,307.77,5.05,5,3006,2829,32.90,0.00,0.807,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.11,-3.14,307.77,5.05,-3.14,3006,2829,2739,3208,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47151,316,"16 -4  4",1324-37,310.69,24.15,6,1443,1291,31.59,0.00,0.077,0.25,0.20,2,0.001,0.001,0.001,11.89,2,0.001,0.001,1288,214,3,2,30.77,0.00,1.0,31.28,12.56,-2.77,309.95,25.35,-2.11,1495,1342,1256,1768,31.00,0.21,3,30.89,0.25,3.0,1,31.28,0.41,0,0.00,0.00
47171,240,"14-15 15",1324-41,310.18,20.89,10,525,367,27.70,27.80,0.113,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.09,-2.65,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
47231,728,"42 -2  1","N 5169",105.03,69.16,3,2482,2567,32.84,0.00,0.036,0.001,0.33,1,0.001,0.001,0.001,12.80,1,0.001,0.001,2521,317,1,3,33.41,0.00,1.0,0.001,14.00,-3.10,103.97,69.07,-2.27,2460,2546,2564,2635,33.41,0.41,1,33.41,0.41,1.0,0,0.00,0.00,0,0.00,0.00
47252,51,"11-22 22",1325-27,312.88,34.58,9,1837,1706,31.92,0.00,0.054,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.01,311.03,36.17,-1.67,1938,1806,1727,2237,32.12,0.29,2,32.12,0.29,2.2,0,0.00,0.00,0,0.00,0.00
47257,728,"42 -2  1","N 5173",104.80,69.21,-5,2404,2489,32.84,0.00,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.50,-2.90,103.97,69.07,-2.27,2460,2546,2564,2635,33.41,0.41,1,33.41,0.41,1.0,0,0.00,0.00,0,0.00,0.00
47270,726,"42  1  1",IC4263,105.12,68.90,7,2706,2792,32.84,0.001,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.87,13.92,-3.07,98.78,70.04,-2.85,2640,2724,2740,2818,32.87,0.41,0,0.00,0.00,0.0,1,32.87,0.41,0,0.00,0.00
47283,445,"23  2  2","N 5156",309.22,13.51,4,2983,2815,32.84,0.00,0.142,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.90,-2.26,309.22,13.51,-2.26,2983,2815,2726,3216,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47321,70,"11-32 32","N 5161",311.95,29.02,5,2391,2249,32.30,0.00,0.059,0.19,0.34,3,11.88,10.95,1,10.45,3,9.22,1,2246,357,1,2,31.34,0.24,3.0,0.001,11.50,-2.24,312.02,28.26,-1.95,2385,2242,2159,2662,32.03,0.28,2,32.03,0.28,2.3,0,0.00,0.00,0,0.00,0.00
47368,216,"14 -9  9","N 5204",113.50,58.02,9,200,317,28.89,28.08,0.012,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.61,-2.45,102.38,59.56,-1.02,234,354,387,354,28.75,0.16,1,29.66,0.36,1.3,0,0.00,0.00,2,28.60,0.17
47371,801,"43 -2  1","U 8489",102.75,70.21,8,1302,1385,31.82,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.91,-3.28,102.37,72.31,-2.59,1241,1316,1329,1433,31.89,0.41,0,0.00,0.00,0.0,1,31.89,0.41,0,0.00,0.00
47394,47,"11-18 18","N 5170",315.65,43.96,5,1498,1391,31.46,0.00,0.080,0.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.67,10.90,-2.12,317.06,43.76,-1.79,1426,1321,1250,1724,31.67,0.41,0,0.00,0.00,0.0,1,31.67,0.41,0,0.00,0.00
47404,210,"14 -5  5","N 5194",104.83,68.56,4,467,555,29.74,0.00,0.036,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8.68,-1.28,105.41,70.67,-1.00,482,562,578,667,29.48,0.15,2,29.74,0.27,2.6,0,0.00,0.00,1,29.42,0.16
47413,210,"14 -5  5","N 5195",104.88,68.48,0,552,640,29.74,29.42,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.53,-2.02,105.41,70.67,-1.00,482,562,578,667,29.48,0.15,2,29.74,0.27,2.6,0,0.00,0.00,1,29.42,0.16
47425,743,"42  8  3","N 5205",115.37,54.05,5,1781,1907,32.38,0.00,0.023,0.03,0.60,1,0.001,0.001,0.001,11.73,1,10.41,1,1895,270,1,3,32.36,0.35,1.5,0.001,12.70,-2.70,115.37,54.05,-2.70,1781,1907,1949,1881,32.36,0.39,1,32.36,0.39,1.1,0,0.00,0.00,0,0.00,0.00
47441,728,"42 -2  1","N 5198",104.11,69.01,-5,2488,2574,32.84,0.00,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.70,-2.58,103.97,69.07,-2.27,2460,2546,2564,2635,33.41,0.41,1,33.41,0.41,1.0,0,0.00,0.00,0,0.00,0.00
47495,215,"14 +9  9","U 8508",111.13,61.31,10,68,176,28.89,27.07,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.40,-3.57,111.13,61.31,-5.00,68,176,207,205,27.07,0.13,0,0.00,0.00,0.0,0,0.00,0.00,1,27.07,0.13
47506,715,"41  0  0","U 8507",354.77,78.11,10,1020,1024,31.04,0.00,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.90,-3.35,354.77,78.11,-3.35,1020,1024,1001,1290,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47549,70,"11-32 32","N 5188",312.18,27.36,3,2366,2222,32.30,0.00,0.052,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.10,-2.48,312.02,28.26,-1.95,2385,2242,2159,2662,32.03,0.28,2,32.03,0.28,2.3,0,0.00,0.00,0,0.00,0.00
47710,786,"42  0  0",1331+69,117.36,47.81,10,1350,1491,31.82,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.98,-4.11,117.36,47.81,-5.00,1350,1491,1541,1417,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47759,742,"42 -8  3",1331+60,113.64,55.97,10,2072,2195,32.38,0.00,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.87,-3.57,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
47762,240,"14-15 15","N 5206",310.18,14.12,-2,571,406,27.70,27.70,0.120,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.03,-2.22,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
47788,210,"14 -5  5","N 5229",103.93,67.61,7,365,456,29.74,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.20,-3.09,105.41,70.67,-1.00,482,562,578,667,29.48,0.15,2,29.74,0.27,2.6,0,0.00,0.00,1,29.42,0.16
47847,240,"14 15 15",1331-45,310.82,16.67,9,829,668,27.70,0.00,0.112,0.001,0.24,1,11.97,10.77,1,10.44,1,0.001,0.001,667,154,3,1,28.18,0.06,2.5,0.001,9.94,-1.79,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
47853,216,"14 -9  9","N 5238",107.40,64.19,8,243,345,28.89,0.00,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.30,-3.13,102.38,59.56,-1.02,234,354,387,354,28.75,0.16,1,29.66,0.36,1.3,0,0.00,0.00,2,28.60,0.17
47903,1036,"55  0  0",1330-772,305.35,-14.98,3,2598,2418,32.55,0.00,0.191,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-2.89,304.92,-14.85,-2.51,2632,2451,2368,2741,32.07,0.29,1,32.02,0.41,1.0,1,32.12,0.41,0,0.00,0.00
47938,799,"43  1  1","U 8578",47.68,80.04,2,840,878,31.09,0.00,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.19,-3.86,47.68,80.04,-5.00,840,878,870,1079,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47947,694,"41 -8  7","U 8575",335.01,69.04,10,1167,1141,31.04,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.50,-3.59,335.75,68.63,-2.01,1145,1120,1082,1431,30.52,0.37,1,30.52,0.37,1.3,0,0.00,0.00,0,0.00,0.00
47948,81,"11 33 33",1332-234,315.73,37.70,3,2640,2521,32.62,0.00,0.097,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.43,12.88,-2.70,315.73,37.70,-2.70,2640,2521,2445,2930,32.43,0.41,0,0.00,0.00,0.0,1,32.43,0.41,0,0.00,0.00
47951,806,"43  0  0","U 8588",100.75,69.24,9,1447,1534,32.02,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.40,100.75,69.24,-3.40,1447,1534,1552,1622,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
47969,70,"11-32 32",1333-340,313.29,27.68,5,2323,2182,32.30,0.00,0.061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-3.08,312.02,28.26,-1.95,2385,2242,2159,2662,32.03,0.28,2,32.03,0.28,2.3,0,0.00,0.00,0,0.00,0.00
47985,747,"42  0  3",IC0902,105.40,65.62,3,1618,1716,32.21,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.27,13.53,-3.07,105.84,64.09,-2.90,1708,1811,1837,1857,32.27,0.41,0,0.00,0.00,0.0,1,32.27,0.41,0,0.00,0.00
48012,728,"42 -2  1","U 8597",100.92,68.95,7,2434,2522,32.84,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.08,-3.13,103.97,69.07,-2.27,2460,2546,2564,2635,33.41,0.41,1,33.41,0.41,1.0,0,0.00,0.00,0,0.00,0.00
48029,231,"14-15 15",1333-28,314.61,32.61,10,582,452,29.20,28.56,0.052,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.06,-3.84,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
48064,726,"42  1  1","U 8611",98.78,70.04,7,2640,2724,32.84,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.40,-3.26,98.78,70.04,-2.85,2640,2724,2740,2818,32.87,0.41,0,0.00,0.00,0.0,1,32.87,0.41,0,0.00,0.00
48082,231,"14-15 15","N 5236",314.58,31.97,5,518,387,29.20,28.25,0.067,0.15,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8.04,-1.03,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
48087,66,"11-28 28",1334-11,320.27,49.49,8,2474,2387,32.38,0.00,0.074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.48,-3.01,320.95,49.60,-2.55,2371,2286,2222,2669,32.21,0.41,1,32.21,0.41,1.0,0,0.00,0.00,0,0.00,0.00
48093,444,"23  2  2",1335-45,311.47,16.23,3,2542,2383,32.84,0.00,0.102,0.45,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.44,-2.47,310.86,15.76,-2.35,2562,2401,2313,2800,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48106,448,"23 -3  3",1334-492,310.49,12.45,-2,3193,3028,32.90,0.00,0.151,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.14,-2.73,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48111,231,"14-15 15",1334-27,315.11,33.73,10,585,458,29.20,28.42,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.14,-3.47,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
48122,694,"41 -8  7","U 8614",334.25,67.68,10,1053,1024,31.04,0.00,0.036,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.94,-2.97,335.75,68.63,-2.01,1145,1120,1082,1431,30.52,0.37,1,30.52,0.37,1.3,0,0.00,0.00,0,0.00,0.00
48130,694,"41 -8  7","N 5248",335.96,68.74,4,1156,1131,31.04,0.00,0.025,0.001,0.64,2,10.75,9.88,1,9.27,2,0.001,0.001,1128,289,1,2,30.52,0.13,2.5,0.001,10.71,-2.07,335.75,68.63,-2.01,1145,1120,1082,1431,30.52,0.37,1,30.52,0.37,1.3,0,0.00,0.00,0,0.00,0.00
