---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
1440,1109,"61  0  0",0020-53,312.40,-62.95,8,1430,1349,30.88,0.00,0.018,0.00,0.69,1,0.001,0.001,0.001,12.43,1,0.001,0.001,1355,123,4,3,30.68,0.00,1.0,0.001,12.41,-2.77,312.40,-62.95,-2.77,1430,1349,1323,1259,30.68,0.41,1,30.68,0.41,1.0,0,0.00,0.00,0,0.00,0.00
1525,1214,"65  6  6","N  100",113.50,-45.89,6,844,985,30.71,0.00,0.059,0.10,0.16,1,13.80,12.65,1,12.24,1,11.03,1,983,229,3,2,31.21,0.15,3.0,0.001,12.80,-2.92,113.50,-45.89,-2.92,844,985,1060,497,31.21,0.36,1,31.21,0.36,1.3,0,0.00,0.00,0,0.00,0.00
1641,234,"14 13 13",E294-10,320.42,-74.42,10,117,72,26.82,26.46,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.56,-4.03,323.61,-76.75,-0.66,144,107,104,-95,26.51,0.13,2,26.43,0.28,2.4,0,0.00,0.00,6,26.52,0.13
1651,1097,"61 18 18","N  115",340.49,-81.57,4,1828,1811,32.24,0.00,0.013,0.02,0.34,1,0.001,0.001,0.001,12.56,1,0.001,0.001,1812,236,3,3,32.16,0.00,1.0,0.001,13.43,-3.15,340.49,-81.57,-3.15,1828,1811,1817,1563,32.16,0.41,1,32.16,0.41,1.0,0,0.00,0.00,0,0.00,0.00
1665,1188,"64  0  0","U  260",113.47,-50.85,6,2131,2258,32.21,0.00,0.075,0.16,0.21,1,0.001,0.001,0.001,12.35,1,0.001,0.001,2262,287,3,2,32.27,0.00,1.0,31.84,12.70,-2.73,112.33,-49.95,-2.60,2104,2235,2306,1754,32.06,0.29,1,32.27,0.41,1.0,1,31.84,0.41,0,0.00,0.00
1750,1216,"65  0  0",0025+04,112.26,-57.39,5,1344,1452,31.19,0.00,0.014,0.06,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.00,-3.78,112.48,-58.49,-3.37,1345,1449,1510,996,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1835,1216,"65  0  0","U  300",112.57,-58.93,10,1345,1448,31.19,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.37,112.48,-58.49,-3.37,1345,1449,1510,996,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1851,1096,"61-18 18","N  134",338.22,-82.37,4,1587,1570,31.19,0.00,0.018,0.02,0.29,2,11.19,9.80,1,9.22,2,7.59,1,1561,493,1,2,31.23,0.09,3.0,0.001,10.30,-1.90,341.12,-82.50,-1.81,1579,1563,1570,1312,31.58,0.24,3,31.58,0.24,3.3,0,0.00,0.00,0,0.00,0.00
1924,1199,"64  0  0","U  313",113.94,-56.31,5,2085,2195,32.12,0.00,0.029,0.17,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.79,-3.19,113.94,-56.31,-3.19,2085,2195,2258,1737,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1952,1150,"62  0  0",0029-643,306.41,-52.74,3,2704,2589,32.47,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.60,13.12,-2.85,306.41,-52.74,-2.85,2704,2589,2547,2595,32.60,0.41,0,0.00,0.00,0.0,1,32.60,0.41,0,0.00,0.00
1977,1300,"60  0  0",I1553,51.73,-85.53,5,2827,2835,32.70,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.56,-2.97,51.73,-85.53,-2.97,2827,2835,2853,2536,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2000,1099,"61 19 18",I1554,339.59,-83.51,-1,1806,1791,31.19,0.00,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.42,-3.15,339.59,-83.51,-3.15,1806,1791,1799,1539,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2004,222,"14-12 12","N  147",119.81,-14.25,-5,-163,26,24.76,24.15,0.172,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.74,-1.70,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2016,1110,"61  0  0","U  328",112.72,-63.64,8,1984,2071,31.92,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.72,-3.19,112.72,-63.64,-3.19,1984,2071,2125,1640,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2044,1096,"61-18 18",0031-31,347.90,-84.75,9,1585,1574,31.19,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.65,-3.24,341.12,-82.50,-1.81,1579,1563,1570,1312,31.58,0.24,3,31.58,0.24,3.3,0,0.00,0.00,0,0.00,0.00
2052,1100,"61-20 18","N  150",22.06,-86.14,3,1593,1592,31.33,0.00,0.014,0.09,0.46,1,0.001,0.001,0.001,10.42,1,9.13,1,1585,339,1,3,31.55,0.21,1.5,0.001,11.30,-2.30,31.19,-86.13,-2.18,1583,1585,1601,1298,30.86,0.30,2,30.86,0.30,2.1,0,0.00,0.00,0,0.00,0.00
