"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
92338,2187,925E,0.001,294.65,17.04,94,0.75,0.07,0.79,0.09,17.0,0.47,c,0,II,1,"Slightly curved ends",12.107305555600000,-45.103055555600000
92339,2196,928E,0.001,295.20,16.29,132,0.61,0.08,0.67,0.09,17.1,0.46,c,0,II,0,"Star projected on S-side",12.144194444400000,-45.940000000000000
92340,2199,930E,0.001,293.35,26.14,71,0.95,0.09,0.78,0.10,16.8,0.35,c,0,II,4,"Diffuse. Slightly curved",12.148000000000000,-35.940000000000000
92341,2200,931E,0.001,293.79,23.99,48,0.60,0.08,0.58,0.10,17.3,0.31,c,2,III,2,"Star proj.in the centre",12.148111111100000,-38.124722222200000
92342,2201,932E,0.001,294.76,19.10,4,0.74,0.09,0.69,0.11,16.9,0.77,c,0,II,2,"Knots. Stars projected",12.150694444400000,-43.100000000000000
92343,2208,934E,0.001,291.71,34.94,171,0.73,0.07,0.66,0.09,17.2,0.35,c,0,II,0,0.001,12.169305555600000,-27.031111111100000
92344,2215,937E,0.001,295.76,16.46,60,0.60,0.06,0.48,0.06,17.6,0.49,d,0,III,0,0.001,12.197694444400000,-45.859722222200000
92345,2217,938E,0.001,296.27,14.22,9,0.61,0.07,0.67,0.10,17.3,0.44,cd,0,III,0,0.001,12.210000000000000,-48.151111111100000
92346,2228,941E,0.001,292.64,36.75,153,0.61,0.07,0.62,0.08,17.2,0.38,c,0,II,2,0.001,12.249305555600000,-25.386388888900000
92347,2237,945E,0.001,294.57,28.78,77,0.65,0.09,0.67,0.11,17.0,0.28,c,0,II,1,0.001,12.270694444400000,-33.521111111100000
92348,2238,946E,0.001,296.64,16.02,118,0.66,0.09,0.67,0.10,16.9,0.54,c,0,II,0,0.001,12.271694444400000,-46.422777777800000
92349,0.001,947E,0.001,292.97,37.52,11,0.56,0.07,0.50,0.08,17.5,0.47,c,0,III,0,0.001,12.278000000000000,-24.681944444400000
92350,2263,949E,0.001,293.93,39.60,117,0.76,0.07,0.58,0.09,17.2,0.26,c,0,II,2,"Contrast nucleus",12.356694444400000,-22.746111111100000
92351,2264,950E,0.001,294.78,35.37,52,0.61,0.06,0.58,0.09,17.6,0.30,c,0,III,2,"Thin faint arms",12.360305555600000,-27.025000000000000
92352,2265,951E,0.001,297.11,21.72,47,0.61,0.08,0.61,0.10,17.1,0.39,c,0,II,0,0.001,12.380694444400000,-40.830000000000000
92353,2276,954E,0.001,294.53,40.94,105,0.60,0.07,0.58,0.09,17.3,0.25,c,0,II,1,0.001,12.403305555600000,-21.486944444400000
92354,2292,959E,0.001,295.99,38.94,22,0.70,0.09,0.67,0.11,16.9,0.41,c,0,II,1,"Slightly diffuse",12.464694444400000,-23.618888888900000
92355,0.001,960E,0.001,295.72,42.33,138,0.53,0.06,0.48,0.09,17.6,0.21,c,0,II,0,0.001,12.478694444400000,-20.223055555600000
92356,0.001,961E,0.001,297.73,30.59,5,0.50,0.06,0.56,0.08,17.6,0.42,c,0,III,5,"V.good representative",12.504694444400000,-32.067222222200000
92357,0.001,962E,0.001,296.66,39.23,171,0.56,0.05,0.48,0.07,17.9,0.39,c,0,III,1,"In distant cluster",12.504388888900000,-23.385000000000000
92358,2300,964E,0.001,296.42,42.24,169,0.63,0.07,0.54,0.07,17.3,0.22,d,0,II,3,0.001,12.514694444400000,-20.369722222200000
92359,0.001,967E,0.001,296.85,41.60,37,0.56,0.07,0.48,0.09,17.4,0.27,cd,0,II,0,0.001,12.532388888900000,-21.038611111100000
92360,2321,969E,0.001,298.57,30.61,136,0.71,0.09,0.67,0.11,17.0,0.39,b,0,II,1,"Round contrast nucleus",12.562000000000000,-32.111944444400000
92361,0.001,972E,0.001,299.33,26.60,172,0.45,0.05,0.47,0.07,17.9,0.28,d,0,III,0,0.001,12.591611111100000,-36.162500000000000
92362,2331,973E,0.001,299.41,27.16,58,0.74,0.09,0.78,0.11,16.8,0.28,c,0,II,4,0.001,12.600000000000000,-35.608888888900000
92363,2348,976E,0.001,300.93,13.05,147,0.82,0.09,0.75,0.11,16.8,0.54,c,1,II,0,"Diffuse faint ends",12.655611111100000,-49.772222222200000
92364,2364,979E,0.001,301.30,22.47,51,0.83,0.09,0.92,0.12,16.7,0.51,cd,0,II,2,0.001,12.725305555600000,-40.376111111100000
92365,2370,982E,0.001,301.57,22.29,131,0.61,0.07,0.50,0.10,17.3,0.47,d,0,II,1,0.001,12.746694444400000,-40.568055555600000
92366,2369,983E,0.001,300.79,43.15,48,0.90,0.10,0.87,0.12,16.8,0.23,c,0,III,0,"Bright contrast nucleus",12.746388888900000,-19.694444444400000
92367,2372,985E,0.001,301.48,30.09,73,0.73,0.09,0.75,0.12,16.9,0.35,bc,0,II,3,Knots,12.758000000000000,-32.761944444400000
92368,2385,988E,0.001,302.48,40.76,86,0.89,0.08,0.75,0.12,16.9,0.30,c,0,II,3,0.001,12.832500000000000,-22.105833333300000
92369,2388,989E,0.001,302.75,31.04,123,0.98,0.09,0.73,0.10,16.8,0.33,c,0,II,2,0.001,12.845305555600000,-31.833055555600000
92370,2392,991E,0.001,302.89,34.61,33,0.76,0.07,0.87,0.10,17.0,0.24,c,0,II,1,"Contrast nucleus",12.854388888900000,-28.259444444400000
92371,2402,997E,0.001,303.22,27.58,132,0.80,0.09,0.75,0.11,16.8,0.26,d,0,II,1,0.001,12.877888888900000,-35.295277777800000
92372,2405,999E,0.001,303.23,16.51,152,0.70,0.09,0.70,0.11,16.9,0.42,c,0,II,2,0.001,12.885305555600000,-46.363055555600000
92373,0.001,1003E,0.001,303.50,33.07,121,0.56,0.05,0.58,0.07,17.6,0.35,c,0,II,4,0.001,12.894111111100000,-29.803333333300000
92374,2410,1004E,0.001,303.66,38.28,150,0.73,0.07,0.48,0.10,17.4,0.40,c,0,II,2,0.001,12.899305555600000,-24.588055555600000
92375,2427,1011E,0.001,304.55,35.86,142,0.80,0.09,0.71,0.10,16.9,0.33,c,0,II,1,0.001,12.955111111100000,-26.990555555600000
92376,2438,1013E,0.001,305.30,30.31,177,0.82,0.09,0.73,0.10,16.9,0.39,c,0,II,4,"Diffuse f.ends. in cluster",13.019000000000000,-32.521111111100000
92377,0.001,1015E,0.001,305.26,25.22,25,0.50,0.06,0.58,0.09,17.6,0.26,c,0,III,2,0.001,13.034694444400000,-37.608055555600000
92378,2445,1016E,0.001,305.41,26.36,127,0.65,0.07,0.74,0.11,17.1,0.20,c,0,II,0,0.001,13.041305555600000,-36.453888888900000
92379,0.001,1017E,0.001,306.44,40.17,137,0.53,0.06,0.48,0.08,17.7,0.47,c,0,III,0,"V.faint.Thin.In distant clust.",13.050694444400000,-22.621944444400000
92380,2454,1018E,0.001,306.02,30.53,144,0.94,0.10,0.98,0.11,16.6,0.35,bc,0,II,4,0.001,13.067305555600000,-32.266111111100000
92381,2475,1021E,0.001,308.08,40.71,7,0.65,0.08,0.70,0.09,17.0,0.48,c,1,II,1,Knotty,13.138000000000000,-21.995000000000000
92382,2479,1023E,0.001,308.24,40.31,34,0.70,0.07,0.75,0.12,17.1,0.45,bc,0,II,4,"In pair or triplet",13.148888888900000,-22.380555555600000
92383,2483,1026E,0.001,307.34,30.49,129,0.61,0.08,0.52,0.10,17.2,0.31,c,0,II,2,0.001,13.156694444400000,-32.231944444400000
92384,2481,1027E,0.001,308.39,40.45,36,0.65,0.09,0.63,0.10,17.0,0.46,bc,0,II,1,0.001,13.156000000000000,-22.231111111100000
92385,2491,1030E,0.001,307.14,23.57,7,0.83,0.09,0.58,0.10,17.0,0.43,b,0,II,1,0.001,13.189305555600000,-39.140000000000000
92386,2497,1031E,0.001,309.51,41.80,49,0.73,0.09,0.67,0.10,16.8,0.45,bc,0,I,0,"Bright nucleus",13.206694444400000,-20.806944444400000
92387,2498,1032E,0.001,307.17,20.98,91,0.63,0.07,0.67,0.07,17.1,0.49,d,0,II,1,0.001,13.210694444400000,-41.716388888900000
92388,2499,1033E,0.001,309.88,43.31,132,0.61,0.07,0.58,0.08,17.2,0.40,d,0,II,1,"Star proj. near nucleus",13.214000000000000,-19.270000000000000
92389,2505,1034E,0.001,310.61,44.81,39,0.99,0.09,0.91,0.12,16.7,0.36,c,0,II,0,0.001,13.238000000000000,-17.716111111100000
92390,2508,1037E,0.001,309.47,35.48,93,0.60,0.08,0.67,0.11,17.1,0.31,c,0,II,0,0.001,13.255611111100000,-27.089722222200000
92391,2512,1038E,0.001,309.00,30.87,31,0.70,0.07,0.69,0.09,17.1,0.27,cd,0,II,3,0.001,13.265305555600000,-31.713888888900000
92392,0.001,1041E,0.001,310.10,35.45,53,0.57,0.06,0.50,0.08,17.3,0.30,cd,0,I,3,0.001,13.294000000000000,-27.053055555600000
92393,0.001,1042E,0.001,309.66,31.56,23,0.54,0.07,0.48,0.08,17.4,0.26,d,0,II,6,0.001,13.303000000000000,-30.960000000000000
92394,0.001,1045E,0.001,309.73,31.47,117,0.54,0.07,0.42,0.09,17.5,0.27,bc,0,II,6,"Faint ends. In cluster",13.308500000000000,-31.045000000000000
92395,2525,1046E,0.001,310.84,38.20,112,0.70,0.09,0.70,0.11,16.9,0.44,c,0,II,0,0.001,13.311111111100000,-24.254722222200000
92396,2530,1047E,0.001,308.54,21.04,137,0.63,0.07,0.67,0.09,17.1,0.52,d,0,II,0,"Compan.at 1.7 to NW.Tail to SE",13.323694444400000,-41.527777777800000
92397,2527,1048E,0.001,310.60,35.65,120,0.61,0.07,0.58,0.09,17.3,0.27,c,0,II,1,"In cluster",13.322388888900000,-26.801111111100000
92398,2565,1053E,0.001,303.49,-23.83,19,0.73,0.09,0.78,0.11,17.0,0.50,c,0,III,3,0.001,13.444194444400000,-86.663055555600000
92399,2536,1054E,0.001,310.98,35.75,75,0.90,0.10,0.93,0.12,16.6,0.32,bc,0,II,1,0.001,13.344305555600000,-26.665833333300000
92400,2545,1056E,0.001,313.47,44.95,9,0.61,0.08,0.48,0.11,17.2,0.37,cd,0,II,1,0.001,13.376694444400000,-17.283888888900000
92401,2547,1057E,0.001,311.66,35.67,137,0.63,0.09,0.62,0.11,17.0,0.28,c,0,II,2,0.001,13.386000000000000,-26.665000000000000
92402,2561,1062E,0.001,313.07,38.56,36,0.60,0.07,0.58,0.10,17.3,0.42,c,0,II,1,"In group of 3 galaxies",13.433500000000000,-23.632500000000000
92403,2566,1063E,0.001,308.60,11.26,118,0.82,0.09,0.98,0.10,16.8,1.07,c,0,III,0,"Slightly curved ends",13.450000000000000,-51.216944444400000
92404,2571,1064E,0.001,312.36,32.69,55,0.70,0.07,0.67,0.09,17.1,0.25,d,0,II,6,"In cluster",13.464694444400000,-29.510000000000000
92405,2575,1066E,0.001,314.77,42.50,112,0.73,0.07,0.69,0.11,17.1,0.42,d,1,II,0,0.001,13.472694444400000,-19.520000000000000
92406,2578,1068E,0.001,311.59,27.15,0,0.68,0.08,0.65,0.08,17.4,0.24,c,0,IV,2,0.001,13.485611111100000,-35.089444444400000
92407,2584,1071E,0.001,310.66,19.10,67,0.63,0.08,0.67,0.10,17.1,0.50,c,0,II,1,0.001,13.526305555600000,-43.165277777800000
92408,2583,1072E,0.001,312.73,29.94,134,0.80,0.09,0.75,0.09,16.7,0.21,c,0,I,4,"In cluster",13.526000000000000,-32.166111111100000
92409,2582,1073E,0.001,315.96,43.10,22,0.60,0.08,0.56,0.09,17.3,0.40,c,0,III,0,0.001,13.524694444400000,-18.761111111100000
92410,0.001,1075E,0.001,315.21,39.51,83,0.56,0.06,0.47,0.08,17.7,0.41,d,0,III,1,0.001,13.538694444400000,-22.383888888900000
92411,2600,1077E,0.001,311.60,21.13,38,0.60,0.07,0.54,0.09,17.5,0.34,c,0,III,2,"In cluster",13.572694444400000,-41.016388888900000
92412,2604,1080E,0.001,311.50,19.75,83,0.76,0.09,0.58,0.11,17.0,0.38,c,0,II,3,"Curved diffuse ends",13.586694444400000,-42.388055555600000
92413,0.001,1081E,0.001,312.53,24.76,136,0.54,0.07,0.48,0.08,17.4,0.26,c,0,II,1,0.001,13.588500000000000,-37.295555555600000
92414,2605,1082E,0.001,312.57,24.88,102,0.99,0.09,0.87,0.10,16.7,0.27,c,1,II,1,"In triplet?Interact.w.gal.1.0SE",13.589500000000000,-37.164166666700000
92415,2608,1083E,0.001,310.74,15.09,54,0.96,0.13,0.43,0.06,16.9,0.59,d,0,III,0,0.001,13.598000000000000,-47.111388888900000
92416,2607,1084E,0.001,311.53,19.24,83,0.65,0.07,0.66,0.09,17.2,0.44,c,0,II,0,0.001,13.597888888900000,-42.890000000000000
92417,2609,1085E,0.001,313.98,30.60,37,0.83,0.09,0.71,0.10,16.9,0.22,c,0,II,5,0.001,13.599305555600000,-31.318888888900000
92418,2615,1087E,0.001,317.32,40.79,13,0.61,0.08,0.60,0.09,17.1,0.37,c,0,II,3,"In group",13.631305555600000,-20.776111111100000
92419,0.001,1088E,0.001,317.38,40.87,120,0.56,0.07,0.43,0.08,17.5,0.38,cd,0,II,3,"In group. Faint ends",13.632694444400000,-20.691111111100000
92420,2616,1089E,0.001,314.20,29.26,5,0.69,0.09,0.67,0.12,16.9,0.23,c,1,II,0,0.001,13.635305555600000,-32.588055555600000
92421,2621,1090E,0.001,314.80,30.28,118,0.67,0.08,0.62,0.11,17.1,0.24,bc,0,II,1,"Faint arms",13.658305555600000,-31.477500000000000
92422,2626,1093E,0.001,319.29,43.75,24,0.65,0.07,0.58,0.11,17.2,0.43,dm,1,II,1,0.001,13.678694444400000,-17.553888888900000
92423,2634,1094E,0.001,319.07,41.49,14,0.70,0.09,0.70,0.10,16.9,0.43,cd,1,II,5,0.001,13.709305555600000,-19.771111111100000
92424,2654,1102E,0.001,313.05,15.06,140,0.89,0.10,0.79,0.12,16.7,0.53,c,0,II,0,"Two-layers. Curved ends",13.812000000000000,-46.688055555600000
92425,0.001,1103E,0.001,320.26,38.55,32,0.53,0.06,0.50,0.08,17.7,0.31,cd,1,III,1,"Knot near nucleus",13.830000000000000,-22.353055555600000
92426,2660,1105E,0.001,321.32,40.54,78,0.65,0.08,0.48,0.10,17.3,0.32,b,0,II,1,0.001,13.844000000000000,-20.208888888900000
92427,0.001,1109E,0.001,321.13,37.15,16,0.48,0.05,0.49,0.07,17.7,0.31,c,0,II,3,"In cluster",13.906888888900000,-23.482777777800000
92428,0.001,1110E,0.001,321.05,36.90,148,0.53,0.07,0.51,0.08,17.3,0.30,d,1,II,3,"In cluster",13.907888888900000,-23.739722222200000
92429,2672,1111E,0.001,313.79,13.48,3,0.73,0.08,0.67,0.11,17.0,0.60,d,1,II,1,0.001,13.917111111100000,-48.046944444400000
92430,2685,1118E,0.001,324.19,41.33,70,0.61,0.08,0.54,0.10,17.2,0.29,c,1,II,1,0.001,13.971305555600000,-18.763055555600000
92431,2700,1121E,0.001,322.43,35.06,72,0.70,0.09,0.64,0.10,17.0,0.30,c,0,II,3,0.001,14.028305555600000,-25.134444444400000
92432,0.001,1122E,0.001,323.84,36.53,39,0.54,0.07,0.54,0.08,17.3,0.33,c,1,II,2,"In cluster",14.070500000000000,-23.365277777800000
92433,0.001,1124E,0.001,323.76,35.76,69,0.54,0.06,0.52,0.08,17.5,0.28,c,0,II,0,0.001,14.085611111100000,-24.112222222200000
92434,2712,1125E,0.001,323.43,34.84,91,0.89,0.10,0.73,0.09,16.6,0.31,c,0,I,1,0.001,14.090305555600000,-25.067222222200000
92435,2720,1129E,0.001,323.03,32.45,93,0.75,0.08,0.63,0.10,17.1,0.24,bc,0,II,1,0.001,14.128694444400000,-27.430000000000000
92436,2727,1132E,0.001,327.18,38.95,95,0.82,0.08,0.86,0.09,16.9,0.37,c,0,II,2,0.001,14.183305555600000,-20.146111111100000
92437,0.001,1135E,0.001,327.30,37.78,175,0.56,0.07,0.54,0.09,17.3,0.35,c,0,II,0,"In cluster",14.222000000000000,-21.188888888900000
92438,2744,1136E,0.001,326.76,35.92,88,0.65,0.07,0.78,0.11,17.1,0.40,c,0,II,4,0.001,14.246000000000000,-23.061944444400000
92439,2745,1137E,0.001,326.60,35.54,20,0.65,0.07,0.60,0.09,17.2,0.38,c,1,II,4,"In group",14.248000000000000,-23.466111111100000
92440,0.001,1138E,0.001,327.38,36.73,36,0.56,0.06,0.67,0.08,17.5,0.40,c,0,III,0,0.001,14.256000000000000,-22.128055555600000
92441,0.001,1142E,0.001,321.27,21.69,38,0.54,0.07,0.47,0.07,17.7,0.26,c,0,IV,2,0.001,14.310000000000000,-38.058055555600000
92442,0.001,1144E,0.001,325.24,29.79,129,0.53,0.05,0.54,0.06,17.8,0.29,c,0,III,1,0.001,14.336000000000000,-29.213055555600000
92443,0.001,1147E,0.001,323.68,25.88,91,0.54,0.07,0.54,0.10,17.3,0.36,c,0,II,1,0.001,14.352694444400000,-33.346944444400000
92444,2763,1148E,0.001,317.36,10.07,166,0.70,0.09,0.56,0.11,17.2,1.54,cd,0,III,0,Diffuse,14.361805555600000,-50.259444444400000
92445,2764,1149E,0.001,318.39,12.48,57,0.61,0.07,0.50,0.09,17.4,0.65,c,0,II,0,0.001,14.371694444400000,-47.644722222200000
92446,0.001,1153E,0.001,328.39,32.33,155,0.54,0.07,0.48,0.08,17.6,0.34,c,0,III,0,0.001,14.443500000000000,-25.794722222200000
92447,0.001,1154E,0.001,327.18,29.91,163,0.56,0.06,0.39,0.07,17.8,0.27,c,0,III,0,Knots,14.449305555600000,-28.421944444400000
92448,0.001,1156E,0.001,323.27,21.19,47,0.54,0.07,0.48,0.08,17.4,0.33,cd,0,II,0,0.001,14.472500000000000,-37.826666666700000
92449,2782,1158E,0.001,326.72,28.25,58,0.63,0.08,0.58,0.10,17.1,0.35,cd,0,II,0,0.001,14.474000000000000,-30.106111111100000
92450,2784,1159E,0.001,328.86,31.93,161,0.73,0.07,0.60,0.08,17.4,0.37,c,0,III,0,0.001,14.482694444400000,-25.986944444400000
92451,0.001,1161E,0.001,323.73,20.89,67,0.54,0.07,0.48,0.09,17.4,0.39,c,0,II,0,0.001,14.515305555600000,-37.932222222200000
92452,0.001,1167E,0.001,323.11,17.99,36,0.51,0.07,0.48,0.09,17.5,0.49,d,0,III,0,0.001,14.570000000000000,-40.816111111100000
92453,2806,1168E,0.001,321.87,15.06,37,0.74,0.10,0.78,0.11,16.7,0.64,d,0,II,0,"Curved. Neighbour at 1.2 NW",14.578694444400000,-43.976944444400000
92454,2807,1172E,0.001,328.22,27.80,135,0.65,0.09,0.65,0.09,17.0,0.35,c,0,II,5,"In cluster",14.580888888900000,-29.948333333300000
92455,2812,1173E,0.001,320.50,11.57,24,0.78,0.10,0.79,0.11,16.9,0.81,c,0,III,0,"Star projected",14.595750000000000,-47.711944444400000
92456,2816,1174E,0.001,325.36,21.53,24,0.60,0.08,0.58,0.11,17.1,0.34,cd,0,II,2,Curved,14.609694444400000,-36.720555555600000
92457,2824,1176E,0.001,330.99,30.95,41,0.77,0.09,0.75,0.11,16.8,0.39,c,0,II,1,"Diffuse. Stars projected",14.635694444400000,-26.041388888900000
92458,2833,1177E,0.001,331.50,30.98,138,0.83,0.10,0.75,0.12,16.7,0.39,c,0,II,0,"Very faint periphery",14.663305555600000,-25.811111111100000
92459,2852,1184E,0.001,335.05,34.45,99,0.63,0.08,0.61,0.10,17.1,0.42,bc,0,II,0,"Round nucleus",14.729305555600000,-21.321944444400000
92460,2859,1189E,0.001,325.02,16.50,85,0.68,0.08,0.78,0.10,16.9,0.50,d,0,II,1,0.001,14.771888888900000,-41.390833333300000
92461,0.001,1192E,0.001,325.20,15.28,139,0.57,0.08,0.56,0.09,17.2,0.60,bc,0,II,0,0.001,14.835305555600000,-42.401111111100000
92462,2880,1193E,0.001,327.58,18.94,70,0.65,0.09,0.63,0.11,17.0,0.33,c,0,II,4,"In group or cluster",14.863305555600000,-38.103055555600000
92463,2898,1196E,0.001,339.24,33.39,132,1.18,0.09,0.87,0.10,16.8,0.44,c,1,III,0,"Knot or gal.proj.? Curved arms",14.979111111100000,-20.359166666700000
92464,2919,1199E,0.001,339.63,30.49,16,0.89,0.07,0.73,0.06,17.2,0.59,c,0,III,0,0.001,15.116888888900000,-22.554722222200000
92465,2935,1206E,0.001,336.90,24.26,24,0.70,0.06,0.71,0.09,17.4,1.11,cd,0,III,0,"Very good representative",15.233305555600000,-29.048055555600000
92466,2938,1207E,0.001,336.39,23.41,51,0.74,0.09,0.86,0.09,16.9,1.05,c,0,III,0,0.001,15.240694444400000,-30.020000000000000
92467,2963,1209E,0.001,331.99,15.06,118,0.87,0.09,0.86,0.11,16.7,0.49,cd,0,II,1,0.001,15.342694444400000,-39.248055555600000
92468,2971,1213E,0.001,336.78,20.37,91,0.68,0.08,0.54,0.08,17.2,0.96,c,1,II,0,"Star projected",15.400305555600000,-32.287500000000000
92469,2992,1218E,0.001,342.22,23.42,165,0.77,0.10,0.78,0.11,16.7,1.21,d,0,II,1,0.001,15.565111111100000,-26.795277777800000
92470,3005,1219E,0.001,346.96,27.94,127,0.68,0.09,0.58,0.11,17.2,0.56,c,0,III,0,0.001,15.590000000000000,-20.591111111100000
92471,3018,1220E,0.001,342.20,20.88,90,0.82,0.07,0.58,0.07,17.2,0.66,c,0,II,0,0.001,15.686000000000000,-28.770000000000000
92472,3033,1223E,0.001,349.63,27.09,117,0.61,0.07,0.60,0.09,17.3,0.48,c,0,II,1,0.001,15.754694444400000,-19.621944444400000
92473,3037,1224E,0.001,348.72,25.78,38,1.04,0.08,1.11,0.10,16.8,0.88,cd,1,III,0,0.001,15.776694444400000,-21.131944444400000
92474,3047,1226E,0.001,349.15,25.07,40,0.74,0.09,0.61,0.10,17.0,1.18,c,0,II,0,"Curved arms",15.831305555600000,-21.381111111100000
92475,3058,1227E,0.001,316.77,-13.30,31,1.08,0.12,0.89,0.12,16.6,0.47,bc,0,III,0,"Dust lane. Star projected",15.913500000000000,-71.062500000000000
92476,3055,1228E,0.001,351.66,26.02,48,0.89,0.09,0.73,0.10,17.0,0.88,bc,1,III,1,"Contrast nucleus",15.899305555600000,-19.116944444400000
92477,3061,1229E,0.001,351.20,25.08,168,0.63,0.07,0.54,0.08,17.4,0.95,d,0,III,0,0.001,15.925500000000000,-20.075277777800000
92478,3086,1232E,0.001,311.67,-19.59,60,0.90,0.08,0.82,0.10,17.2,0.80,c,0,IV,1,"The nearest compan.at 3.2NW",16.094694444400000,-78.999444444400000
92479,3070,1233E,0.001,350.15,22.13,151,0.83,0.08,0.48,0.09,17.4,0.98,c,0,III,0,"Star projected",16.026694444400000,-22.841944444400000
92480,3074,1234E,0.001,350.70,22.47,43,0.70,0.07,0.54,0.09,17.3,0.95,c,0,II,0,0.001,16.034694444400000,-22.243055555600000
92481,3095,1237E,0.001,319.82,-11.93,8,1.31,0.09,0.97,0.08,16.7,0.38,c,0,III,0,"Star near nucleus",16.154888888900000,-68.044722222200000
92482,3090,1238E,0.001,346.94,17.04,38,0.92,0.10,0.95,0.11,16.6,0.84,c,0,II,2,0.001,16.134194444400000,-28.580277777800000
92483,3103,1240E,0.001,349.72,18.65,172,0.94,0.09,0.95,0.11,16.6,0.98,cd,0,II,0,0.001,16.187305555600000,-25.568055555600000
92484,3107,1241E,0.001,353.12,21.15,41,0.61,0.07,0.58,0.09,17.3,1.22,c,0,II,0,0.001,16.214694444400000,-21.527222222200000
92485,3128,1243E,0.001,354.25,20.11,108,0.82,0.09,0.78,0.10,16.8,1.56,c,0,II,0,"Round nucleus",16.321111111100000,-21.440555555600000
92486,0.001,1244E,0.001,353.51,19.41,111,0.53,0.07,0.58,0.09,17.3,0.86,cd,0,II,0,"Curved ends w.projecting stars",16.325111111100000,-22.427777777800000
92487,3141,1245E,0.001,314.02,-18.87,71,0.90,0.09,0.73,0.11,17.0,0.51,c,0,III,0,"Diffuse. El.galaxy at 0.5 S",16.410694444400000,-76.886111111100000
92488,3179,1256E,0.001,327.48,-9.80,16,1.45,0.16,1.55,0.19,15.9,1.27,c,0,III,0,"Slightly curved",16.713750000000000,-61.088055555600000
92489,3195,1259E,0.001,322.63,-14.47,2,0.77,0.09,0.75,0.13,16.9,0.39,d,0,III,1,Broken,16.815305555600000,-67.706944444400000
92490,3220,1264E,0.001,322.72,-15.51,163,0.73,0.09,0.67,0.10,17.1,0.32,c,0,III,0,0.001,16.971694444400000,-68.257222222200000
92491,3226,1265E,0.001,317.84,-19.01,12,0.61,0.07,0.63,0.09,17.4,0.29,c,0,III,0,Knot,17.023694444400000,-74.084722222200000
92492,3231,1267E,0.001,356.35,8.52,42,0.89,0.09,1.02,0.11,16.8,1.31,cd,0,III,0,"Star projected near nucleus",17.072666666700000,-27.190277777800000
92493,3244,1270E,0.001,327.19,-13.89,71,0.86,0.12,0.87,0.12,16.6,0.46,dm,0,III,0,0.001,17.160500000000000,-63.783611111100000
92494,0.001,1273E,0.001,329.00,-13.27,78,0.54,0.06,0.67,0.08,17.5,0.41,c,0,III,1,Curved,17.227888888900000,-61.973611111100000
92495,0.001,1275E,0.001,325.86,-15.43,33,0.54,0.06,0.58,0.07,17.6,0.29,c,0,III,1,0.001,17.251111111100000,-65.706944444400000
92496,3264,1277E,0.001,329.50,-13.76,164,0.90,0.08,0.58,0.10,17.2,0.45,c,0,III,0,0.001,17.323694444400000,-61.835555555600000
92497,3282,1283E,0.001,325.56,-17.13,142,1.18,0.13,1.06,0.10,16.2,0.29,c,0,II,8,"In group. Star projected",17.467305555600000,-66.836111111100000
92498,3292,1284E,0.001,320.02,-20.51,116,0.82,0.09,0.67,0.09,16.9,0.23,c,0,II,0,"Faint ends. Star projected",17.569305555600000,-73.046944444400000
92499,3299,1286E,0.001,331.15,-15.94,123,0.68,0.08,0.67,0.10,17.0,0.30,c,0,II,0,0.001,17.701694444400000,-61.557222222200000
92500,3300,1287E,0.001,329.55,-16.82,71,0.87,0.09,0.81,0.09,16.8,0.32,c,0,II,1,"In pair. Companion at 1.7 SE",17.711305555600000,-63.324444444400000
92501,3305,1289E,0.001,333.78,-15.36,125,0.82,0.09,0.58,0.12,17.1,0.48,cd,0,III,1,0.001,17.791111111100000,-59.043888888900000
92502,0.001,1290E,0.001,324.25,-20.26,128,0.54,0.05,0.63,0.07,17.8,0.33,c,0,IV,0,"Star projected near nucleus",17.867888888900000,-69.341111111100000
92503,0.001,1291E,0.001,320.78,-22.05,56,0.54,0.06,0.58,0.09,17.5,0.31,d,0,III,0,"Slightly curved",17.958000000000000,-73.015000000000000
92504,3329,1292E,0.001,340.10,-14.93,134,0.77,0.09,0.67,0.10,17.1,0.53,c,0,III,0,0.001,18.071888888900000,-53.391111111100000
92505,3332,1293E,0.001,330.12,-19.43,14,0.82,0.11,0.73,0.11,16.7,0.27,c,0,II,1,0.001,18.101111111100000,-63.927500000000000
92506,3338,1295E,0.001,336.68,-17.38,32,0.73,0.08,0.58,0.10,17.3,0.41,c,0,III,0,"Star projected on S end",18.173305555600000,-57.398055555600000
