"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
4458,280,138,0.001,127.83,-24.53,48,1.16,0.16,1.14,0.17,16.0,0.20,c,0,II,2,0.001,1.235194444440000,38.123055555600000
4467,281,143E,0.001,295.97,-61.80,94,0.82,0.09,0.78,0.11,16.8,0.09,cd,1,II,0,0.001,1.239666666670000,-55.021111111100000
4481,284,141,4481,126.72,-12.25,49,1.09,0.15,0.90,0.15,16.2,0.88,d,1,II,1,0.001,1.245805555560000,50.452777777800000
4585,286,143,0.001,133.81,-55.71,74,1.25,0.11,1.23,0.18,16.4,0.22,cd,2,III,2,0.001,1.266833333330000,6.637500000000000
4650,291,145,4650,127.34,-13.64,145,1.46,0.17,1.49,0.15,15.7,0.71,d,0,II,0,0.001,1.293527777780000,49.011388888900000
4734,296,149,4734,137.88,-62.21,65,1.57,0.11,1.57,0.11,16.2,0.14,d,0,III,1,"Compact compan.at 3.5 NE",1.317916666670000,-0.138611111111000
4819,299,148E,4819,289.35,-68.83,178,0.98,0.13,1.02,0.13,16.3,0.03,bc,0,II,0,0.001,1.338527777780000,-47.531111111100000
4856,302,153,4856,136.79,-57.90,115,1.12,0.11,0.99,0.10,16.5,0.15,d,0,III,0,0.001,1.346055555560000,4.180277777780000
4924,305,150E,4924,270.72,-78.63,130,1.27,0.17,1.36,0.19,15.7,0.07,bc,0,I,3,0.001,1.358194444440000,-36.543055555600000
5000,309,154E,5000,237.44,-82.60,53,1.61,0.20,1.45,0.21,15.5,0.08,b,0,I,0,"Bright buldge",1.375722222220000,-29.983055555600000
5051,310,155E,5051,263.14,-79.81,52,1.49,0.17,1.55,0.19,15.6,0.10,bc,0,I,3,"Dust lane.Curved ends",1.385194444440000,-34.735000000000000
5181,316,161,5181,134.50,-46.36,168,1.27,0.16,1.20,0.16,15.9,0.25,c,2,II,1,"S side is very dusty",1.408361111110000,15.767500000000000
5194,317,162,5194,134.32,-45.60,26,1.83,0.24,1.69,0.22,15.3,0.37,bc,1,II,1,0.001,1.409500000000000,16.536666666700000
5218,318,163,5218,136.34,-52.01,33,2.63,0.35,2.60,0.38,14.5,0.38,c,0,I,2,0.001,1.412750000000000,9.995000000000000
5220,319,164,5220,140.18,-60.71,148,1.14,0.11,0.90,0.13,16.7,0.12,m,2,IV,3,0.001,1.413472222220000,1.037222222220000
5292,321,159E,5292,298.06,-48.89,29,1.08,0.10,1.14,0.13,16.4,0.11,c,0,II,0,0.001,1.426388888890000,-67.915000000000000
5373,325,160E,5373,293.99,-58.52,13,1.11,0.10,1.06,0.11,16.5,0.08,c,0,II,1,0.001,1.444527777780000,-57.996944444400000
5518,330,170,5518,131.65,-27.89,125,1.76,0.10,1.40,0.10,16.2,0.19,d,0,II,1,"Br. sp. gal. at 7.0 W",1.480194444440000,34.345833333300000
5704,335,168E,5704,288.01,-64.68,146,1.19,0.16,1.16,0.18,16.0,0.09,bc,0,II,4,0.001,1.532805555560000,-51.258055555600000
5757,338,171,5757,138.67,-49.78,155,1.03,0.11,1.03,0.12,16.4,0.22,cd,0,II,0,0.001,1.544388888890000,11.830000000000000
5783,339,171E,5783,201.90,-80.36,55,1.04,0.13,0.89,0.13,16.4,0.08,c,0,II,0,0.001,1.553472222220000,-24.898888888900000
